lngSpeciesSurveyId,lngCensusId,strColonyCode,dtmSurveyDate,intSurveyYear,strAOUCode,strWhatCounted,strEstimateType,intActualBirdCount,intNumberOfNests,intNumberOfEmptyNests,intEstimatedBreedingPopulation,strEstimatedBreedingPopulation,strAbundance,strDataQuality,memSpeciesNotes,strConversionFactor,strPhotoInterpreters,strDataEntryClerk,dtmDataEntryDate,lngPhotosID,lngQuickSurveyID
44,680,219-020,6/4/1988,1988,WGGU,N,W,,89,,178,178,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
45,680,219-014,6/4/1988,1988,BRAC,N,W,,34,,68,68,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
46,694,219-005,6/8/1988,1988,PIGU,B,W,4,,,4,4,Present,3,"Nests on roof, decks, and surrounding rocks.",L,NA,Betty L. Depee,11/28/2000,,
47,694,219-006,6/8/1988,1988,PECO,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
48,694,219-006,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
49,694,219-006,6/8/1988,1988,PIGU,B,W,12,,,12,12,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
50,694,219-010,6/8/1988,1988,WGGU,N,W,,15,,30,30,Present,1,Most birds on eastern rock.,2,NA,Betty L. Depee,11/28/2000,,
51,694,219-007,6/8/1988,1988,WGGU,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
52,694,219-007,6/8/1988,1988,PIGU,B,W,17,,,17,17,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
53,694,219-007,6/8/1988,1988,BLOY,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
54,694,219-007.1,6/8/1988,1988,PIGU,B,W,5,,,5,5,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
55,694,219-021,6/8/1988,1988,PIGU,B,W,10,,,10,10,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
56,694,219-021,6/8/1988,1988,RHAU,O,P,,,,,P,Probable,4,,L,NA,Betty L. Depee,11/28/2000,,
57,694,219-018,6/8/1988,1988,PIGU,B,W,4,,,4,4,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
58,694,219-019,6/8/1988,1988,PIGU,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
59,694,219-014,6/8/1988,1988,PIGU,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
60,694,219-008,6/8/1988,1988,PECO,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
61,694,219-008,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
62,694,219-008,6/8/1988,1988,PIGU,B,W,84,,,84,84,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
63,694,219-008,6/8/1988,1988,BLOY,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
64,694,219-011,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
65,694,219-011,6/8/1988,1988,PIGU,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
66,694,219-012,6/8/1988,1988,PECO,N,W,,4,,8,8,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
67,694,219-012,6/8/1988,1988,WGGU,N,W,,67,,134,134,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
68,694,219-012,6/8/1988,1988,PIGU,B,W,6,,,6,6,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
69,694,219-013,6/8/1988,1988,WGGU,N,W,,21,,42,42,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
70,694,219-013,6/8/1988,1988,PIGU,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
71,694,219-015,6/8/1988,1988,WGGU,N,W,,4,,8,8,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
72,694,219-015,6/8/1988,1988,PIGU,B,W,3,,,3,3,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
73,694,219-015,6/8/1988,1988,BLOY,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
74,694,219-017,6/8/1988,1988,PIGU,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
75,694,219-014,6/8/1988,1988,PECO,N,W,,4,,8,8,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
76,697,219-017,6/8/1988,1988,WGGU,N,W,,10,,20,20,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
77,693,219-018,6/8/1988,1988,WGGU,N,W,,11,,22,22,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
78,746,219-020,7/1/1988,1988,TUPU,N,W,,1,,2,2,Present,3,,2,NA,Betty L. Depee,11/28/2000,,
79,746,219-020,7/1/1988,1988,BLOY,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
80,746,219-020.1,7/1/1988,1988,PIGU,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
81,750,219-020.1,7/2/1988,1988,WGGU,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
82,680,219-030,6/4/1988,1988,BRAC,N,W,,334,,668,668,Present,1,,2,Unknown,Betty L. Depee,12/4/2000,,
83,680,219-024,6/4/1988,1988,WGGU,N,W,,26,,52,52,Present,1,,2,Unknown,Betty L. Depee,12/4/2000,,
84,680,219-025,6/4/1988,1988,WGGU,N,W,,89,,178,178,Present,1,,2,Unknown,Betty L. Depee,12/4/2000,,
85,680,219-027,6/4/1988,1988,BRAC,N,W,,50,,100,100,Present,1,,2,Unknown,Betty L. Depee,12/4/2000,,
86,680,219-027,6/4/1988,1988,WGGU,N,W,,41,,82,82,Present,1,,2,Unknown,Betty L. Depee,12/4/2000,,
87,680,219-027,6/4/1988,1988,COMU,B,W,3960,,,6613,6613,Present,2,,1.67,Unknown,Betty L. Depee,12/4/2000,,
88,680,219-027,6/4/1988,1988,BLOY,N,W,,1,,,X,Present,3,,2,Unknown,Betty L. Depee,12/4/2000,,
89,680,219-029,6/4/1988,1988,BRAC,N,W,,38,,76,76,Present,1,,2,Unknown,Betty L. Depee,12/4/2000,,
90,680,219-030,6/4/1988,1988,COMU,B,W,6,,,10,10,Present,2,,1.67,Unknown,Betty L. Depee,12/4/2000,,
91,680,219-026,6/4/1988,1988,BRAC,N,W,,4,,8,8,Present,1,,2,Unknown,Betty L. Depee,12/4/2000,,
92,680,219-026,6/4/1988,1988,COMU,B,W,6893,,,11511,11511,Present,2,,1.67,Unknown,Betty L. Depee,12/4/2000,,
93,694,219-023,6/8/1988,1988,PECO,N,W,,10,,20,20,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
94,694,219-023,6/8/1988,1988,WGGU,N,W,,30,,60,60,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
95,694,219-032,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
96,694,219-032,6/8/1988,1988,PIGU,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
97,694,219-033,6/8/1988,1988,PIGU,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
98,694,219-033.1,6/8/1988,1988,WGGU,N,W,,7,,14,14,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
99,694,219-033.1,6/8/1988,1988,BLOY,B,W,3,,,3,3,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
100,694,219-023,6/8/1988,1988,PIGU,B,W,3,,,3,3,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
101,694,219-023,6/8/1988,1988,TUPU,N,W,,1,,2,2,Present,4,,2,NA,Betty L. Depee,12/4/2000,,
102,694,219-028,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
103,694,219-029,6/8/1988,1988,PIGU,B,W,17,,,17,17,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
104,694,219-030,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
105,694,219-030,6/8/1988,1988,PIGU,B,W,3,,,3,3,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
106,694,219-022,6/8/1988,1988,PIGU,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
107,694,219-034,6/8/1988,1988,PIGU,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
108,694,219-034,6/8/1988,1988,BLOY,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
109,694,219-035,6/8/1988,1988,WGGU,N,W,,20,,40,40,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
110,694,219-035,6/8/1988,1988,PIGU,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
111,694,219-035,6/8/1988,1988,BLOY,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
112,694,219-036,6/8/1988,1988,WGGU,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
113,694,219-025.4,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
114,694,219-026,6/8/1988,1988,WGGU,N,W,,22,,44,44,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
115,694,219-026,6/8/1988,1988,PIGU,B,W,4,,,4,4,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
116,694,219-026,6/8/1988,1988,BLOY,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
117,694,219-026.1,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
118,694,219-026.1,6/8/1988,1988,PIGU,B,W,9,,,9,9,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
119,694,219-031,6/8/1988,1988,PECO,N,W,,3,,6,6,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
120,694,219-031,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
121,694,219-031,6/8/1988,1988,PIGU,B,W,37,,,37,37,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
122,694,219-031,6/8/1988,1988,BLOY,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
123,698,219-022,6/8/1988,1988,WGGU,N,W,,19,,38,38,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
124,696,219-025,6/8/1988,1988,PECO,N,W,,47,,94,94,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
125,699,219-022,6/8/1988,1988,PECO,N,W,,15,,30,30,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
