lngSpeciesSurveyId,lngCensusId,strColonyCode,dtmSurveyDate,intSurveyYear,strAOUCode,strWhatCounted,strEstimateType,intActualBirdCount,intNumberOfNests,intNumberOfEmptyNests,intEstimatedBreedingPopulation,strEstimatedBreedingPopulation,strAbundance,strDataQuality,memSpeciesNotes,strConversionFactor,strPhotoInterpreters,strDataEntryClerk,dtmDataEntryDate,lngPhotosID,lngQuickSurveyID
3400,432,243-010,6/2/1933,1933,TUPU,U,X,,,,,X,Present,4,Visited by early egg collectors.,L,NA,Betty L. Depee,6/2/2001,,
3401,432,243-010,6/2/1933,1933,BLOY,U,X,,,,,X,Present,4,Visited by early egg collectors.,L,NA,Betty L. Depee,6/2/2001,,
3402,433,243-010,6/4/1933,1933,WGGU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3403,434,243-010,5/29/1934,1934,WGGU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3404,19,243-011C,1/1/1938,1938,TUPU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3405,20,243-010,6/10/1938,1938,BRAC,B,T,100,,,100,100,Present,4,Visited by early egg collectors.,L,NA,Betty L. Depee,6/2/2001,,
3406,20,243-010,6/10/1938,1938,WGGU,B,T,20,,,20,20,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3407,20,243-010,6/10/1938,1938,TUPU,U,X,,,,,X,Present,4,Visited by early egg collectors.,L,NA,Betty L. Depee,6/2/2001,,
3408,23,243-011C,6/16/1939,1939,PIGU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3409,6,243-011C,6/2/1940,1940,WGGU,B,T,6,,,6,6,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3410,6,243-011C,6/2/1940,1940,TUPU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3411,7,243-011C,5/29/1949,1949,WGGU,B,T,20,,,20,20,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3412,399,243-011C,6/24/1951,1951,WGGU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3413,400,243-011C,5/30/1952,1952,WGGU,B,T,40,,,40,40,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3414,403,243-011C,7/1/1952,1952,PECO,B,T,70,,,70,70,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3415,404,243-011C,7/4/1952,1952,PIGU,B,T,40,,,40,40,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3416,24,243-011C,6/13/1953,1953,PECO,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3417,407,243-011C,6/14/1953,1953,WGGU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3418,460,243-011C,5/30/1958,1958,WGGU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3419,460,243-011C,5/30/1958,1958,COMU,B,T,400,,,400,400,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3420,461,243-011C,6/8/1958,1958,BLOY,B,W,2,,,2,2,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3421,1900,243-010,6/24/1966,1966,UNCO,B,T,200,,,200,200,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3422,1900,243-010,6/24/1966,1966,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,6/2/2001,,
3423,1900,243-010,6/24/1966,1966,COMU,B,Y,1500,,,1500,1500,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3424,1900,243-011C,6/24/1966,1966,UNCO,B,T,150,,,150,150,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3425,1900,243-011C,6/24/1966,1966,WGGU,B,T,100,,,100,100,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3426,1900,243-011C,6/24/1966,1966,COMU,B,Y,2500,,,2500,2500,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3427,1901,243-010,6/27/1967,1967,UNCO,B,T,1500,,,1500,1500,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3428,1901,243-010,6/27/1967,1967,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,6/2/2001,,
3429,1901,243-010,6/27/1967,1967,COMU,B,Y,5000,,,5000,5000,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3430,1901,243-011C,6/27/1967,1967,UNCO,B,T,75,,,75,75,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3431,1901,243-011C,6/27/1967,1967,COMU,B,Y,3000,,,3000,3000,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3432,1903,243-011C,6/21/1968,1968,COMU,B,Y,2700,,,2700,2700,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3433,1903,243-010,6/21/1968,1968,UNCO,B,T,1700,,,1700,1700,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3434,1903,243-010,6/21/1968,1968,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,6/2/2001,,
3435,1903,243-010,6/21/1968,1968,COMU,B,Y,1800,,,1800,1800,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3436,1903,243-011C,6/21/1968,1968,UNCO,B,T,90,,,90,90,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3437,369,243-011C,1/1/1969,1969,PECO,B,T,92,,,92,92,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3438,369,243-011C,1/1/1969,1969,COMU,B,Y,2400,,,2400,2400,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3439,370,243-011C,1/1/1969,1969,GWGU,B,T,5,,,5,5,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3440,370,243-011C,1/1/1969,1969,BLOY,B,W,3,,,3,3,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3441,1904,243-011C,7/1/1969,1969,UNCO,B,T,50,,,50,50,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3442,1904,243-011C,7/1/1969,1969,WGGU,B,T,100,,,100,100,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3443,1904,243-010,7/1/1969,1969,UNCO,B,T,400,,,400,400,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3444,1904,243-010,7/1/1969,1969,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,6/2/2001,,
3445,1904,243-010,7/1/1969,1969,COMU,B,Y,1200,,,1200,1200,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3446,371,243-011C,1/1/1970,1970,PECO,B,T,104,,,104,104,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3447,371,243-011C,1/1/1970,1970,BRAC,B,T,82,,,82,82,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3448,371,243-011C,1/1/1970,1970,COMU,B,Y,5068,,,5068,5068,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3449,372,243-011C,1/1/1970,1970,GWGU,B,T,5,,,5,5,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3450,372,243-011C,1/1/1970,1970,PIGU,B,T,175,,,175,175,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3451,372,243-011C,1/1/1970,1970,BLOY,B,W,3,,,3,3,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3452,1905,243-011C,6/18/1970,1970,UNCO,B,T,185,,,185,185,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3453,1905,243-011C,6/18/1970,1970,WGGU,B,T,350,,,350,350,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3454,1905,243-010,6/18/1970,1970,UNCO,B,T,400,,,400,400,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3455,1905,243-010,6/18/1970,1970,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,6/2/2001,,
3456,1905,243-010,6/18/1970,1970,COMU,B,Y,2000,,,2000,2000,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3457,373,243-011C,1/1/1971,1971,PECO,B,T,68,,,68,68,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3458,373,243-011C,1/1/1971,1971,BRAC,B,T,90,,,90,90,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3459,375,243-011C,6/21/1971,1971,COMU,B,Y,3320,,,3320,3320,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3460,374,243-011C,1/1/1971,1971,GWGU,B,T,7,,,7,7,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3461,374,243-011C,1/1/1971,1971,BLOY,B,W,4,,,4,4,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3462,1906,243-011C,6/21/1971,1971,UNCO,B,T,120,,,120,120,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3463,1906,243-011C,6/21/1971,1971,WGGU,B,T,300,,,300,300,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3464,1906,243-010,6/21/1971,1971,UNCO,B,T,135,,,135,135,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3465,1906,243-010,6/21/1971,1971,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,6/2/2001,,
3466,1906,243-010,6/21/1971,1971,COMU,B,Y,1900,,,1900,1900,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3467,1910,243-011C,6/26/1972,1972,UNCO,B,T,75,,,75,75,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3468,1910,243-011C,6/26/1972,1972,WGGU,B,T,550,,,550,550,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3469,1910,243-011C,6/26/1972,1972,COMU,B,Y,3500,,,3500,3500,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3470,1910,243-011C,6/26/1972,1972,TUPU,B,W,3,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3471,1910,243-010,6/26/1972,1972,UNCO,B,T,75,,,75,75,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3472,1910,243-010,6/26/1972,1972,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,6/2/2001,,
3473,1910,243-010,6/26/1972,1972,COMU,B,Y,2400,,,2400,2400,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3474,1910,243-010,6/26/1972,1972,TUPU,B,W,4,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3475,1915,243-011C,6/29/1973,1973,UNCO,B,T,750,,,750,750,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3476,1915,243-011C,6/29/1973,1973,WGGU,B,T,900,,,900,900,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3477,1915,243-011C,6/29/1973,1973,COMU,B,Y,4800,,,4800,4800,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3478,1915,243-010,6/29/1973,1973,UNCO,B,T,300,,,300,300,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3479,1915,243-010,6/29/1973,1973,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,6/2/2001,,
3480,1915,243-010,6/29/1973,1973,COMU,B,Y,3000,,,3000,3000,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3481,1918,243-011C,7/12/1974,1974,UNCO,B,T,162,,,162,162,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3482,1918,243-011C,7/12/1974,1974,WGGU,B,T,225,,,225,225,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3483,1920,243-011C,7/12/1974,1974,COMU,B,T,800,,,800,800,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3484,1918,243-010,7/12/1974,1974,UNCO,B,T,240,,,240,240,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3485,1918,243-010,7/12/1974,1974,WGGU,B,T,300,,,300,300,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3486,1918,243-010,7/12/1974,1974,COMU,B,Y,1100,,,1100,1100,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3487,54,243-011C,1/1/1975,1975,WGGU,B,T,48,,,48,48,Present,4,Includes 1 GWGU or hybrid GWGU/WEGU,L,NA,Betty L. Depee,6/2/2001,,
3488,54,243-011C,1/1/1975,1975,GWGU,B,T,1,,,1,1,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3489,1921,243-011C,6/28/1975,1975,COMU,B,Y,4000,,,4000,4000,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3490,1921,243-010,6/28/1975,1975,COMU,B,Y,3000,,,3000,3000,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3491,1924,243-011C,6/1/1976,1976,COMU,B,Y,4200,,,4200,4200,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3492,1924,243-010,6/1/1976,1976,COMU,B,Y,3000,,,3000,3000,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3493,1926,243-011C,6/6/1977,1977,COMU,B,Y,4500,,,4500,4500,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3494,1926,243-010,6/6/1977,1977,COMU,B,Y,1800,,,1800,1800,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3495,56,243-011C,1/1/1978,1978,TUPU,U,X,,,,,X,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3496,368,243-016,1/1/1979,1979,RHAU,O,P,,,,,P,Probable,4,,L,NA,Betty L. Depee,6/2/2001,,
3497,87,243-011C,5/12/1979,1979,GWGU,B,T,1,,,1,1,Present,4,,L,NA,Betty L. Depee,6/2/2001,,
3498,109,243-015,6/7/1979,1979,WGGU,N,W,,67,,134,134,Present,2,,2,NA,Betty L. Depee,6/2/2001,,
3499,110,243-012,6/8/1979,1979,WGGU,N,W,,1,,2,2,Present,2,,2,NA,Betty L. Depee,6/2/2001,,
3500,110,243-012,6/8/1979,1979,BLOY,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3501,110,243-013,6/8/1979,1979,WGGU,N,W,,4,,8,8,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3502,110,243-013,6/8/1979,1979,PIGU,B,W,10,,,10,10,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3503,118,243-015,6/22/1979,1979,BRAC,N,W,,85,,170,170,Present,2,,2,Unknown,Betty L. Depee,6/2/2001,,
3504,121,243-016,6/23/1979,1979,WGGU,N,W,,21,,42,42,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3505,120,243-014,6/23/1979,1979,WGGU,N,W,,2,,4,4,Present,2,,2,NA,Betty L. Depee,6/2/2001,,
3506,120,243-014,6/23/1979,1979,PIGU,B,W,10,,,10,10,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3507,120,243-015,6/23/1979,1979,PECO,N,W,,5,,10,10,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3508,120,243-015,6/23/1979,1979,PIGU,B,W,25,,,25,25,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3509,120,243-015,6/23/1979,1979,TUPU,B,W,,,,4,4,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3510,120,243-018,6/23/1979,1979,WGGU,N,W,,10,,20,20,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3511,120,243-019,6/23/1979,1979,WGGU,N,W,,17,,34,34,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3512,120,243-020,6/23/1979,1979,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3513,120,243-020,6/23/1979,1979,PIGU,B,W,5,,,5,5,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3514,120,243-020,6/23/1979,1979,BLOY,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3515,125,243-016,6/27/1979,1979,PIGU,B,W,40,,,40,40,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3516,125,243-011,6/27/1979,1979,PECO,N,W,,32,,64,64,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3517,125,243-016,6/27/1979,1979,PECO,N,W,,7,,14,14,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3518,125,243-010,6/27/1979,1979,PIGU,B,W,15,,,15,15,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3519,125,243-010,6/27/1979,1979,TUPU,B,W,,,,4,4,Present,3,,L,NA,Betty L. Depee,6/2/2001,,
3520,125,243-013,6/27/1979,1979,PECO,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3521,125,243-017,6/27/1979,1979,PECO,N,W,,9,,18,18,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3522,125,243-017,6/27/1979,1979,WGGU,N,W,,75,,150,150,Present,2,,2,NA,Betty L. Depee,6/2/2001,,
3523,125,243-021,6/27/1979,1979,PECO,N,W,,76,,152,152,Present,1,,2,NA,Betty L. Depee,6/2/2001,,
3524,437,219-021,7/25/1960,1960,BRAC,B,T,20,,,20,20,Present,3,"See: Bayer & Ferris 1987, status unclear from accounts cited.",L,NA,Betty L. Depee,5/27/2001,,
3525,437,219-021,7/25/1960,1960,WGGU,B,T,200,,,200,200,Present,4,,L,NA,Betty L. Depee,5/27/2001,,
3526,437,219-021,7/25/1960,1960,PIGU,O,X,,,,,X,Present,4,,L,NA,Betty L. Depee,5/27/2001,,
3527,437,219-021,7/25/1960,1960,TUPU,B,Y,45,,,45,45,Present,4,Browning & English (5) Transposed results Haystack Rock (CLATSOP CO.) with Haystack Rock (Tillamook C0.) (Col. no. 219-064) in their table 2.,A,NA,Betty L. Depee,5/27/2001,,
3528,422,219-021,7/1/1963,1963,PECO,B,T,44,,,44,44,Present,4,See: Bayer & Ferris 1987,L,NA,Betty L. Depee,5/27/2001,,
3529,422,219-021,7/1/1963,1963,TUPU,B,Y,200,,,200,200,Present,4,,L,NA,Betty L. Depee,5/27/2001,,
3530,457,219-021,5/7/1966,1966,TUPU,B,T,30,,,30,30,Present,4,,L,NA,Betty L. Depee,5/27/2001,,
3531,1900,219-029C,6/24/1966,1966,UNCO,B,T,100,,,100,100,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3532,1900,219-026,6/24/1966,1966,UNCO,B,T,200,,,200,200,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3533,1900,219-026,6/24/1966,1966,COMU,B,T,1500,,,1500,1500,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3534,1900,219-021,6/24/1966,1966,WGGU,B,T,600,,,600,600,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3535,452,219-021,5/5/1967,1967,LHSP,O,P,,,,,P,Probable,4,See: Bayer & Ferris 1987,L,NA,Betty L. Depee,5/27/2001,,
3536,452,219-021,5/5/1967,1967,PECO,N,Z,,15,,30,30,Present,4,"See: Bayer & Ferris 1987; Only S, E and N slopes were observable.",2,NA,Betty L. Depee,5/27/2001,,
3537,452,219-021,5/5/1967,1967,CAAU,O,P,,,,,P,Probable,4,,L,NA,Betty L. Depee,5/27/2001,,
3538,1,219-021,5/13/1967,1967,TUPU,B,T,60,,,60,60,Present,4,"Survey from 5/5 - TUPU burrows were visible on upper N slope of the rock. We did not observe birds, however.",L,NA,Betty L. Depee,5/27/2001,,
3539,1901,219-029C,6/27/1967,1967,UNCO,B,T,35,,,35,35,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3540,1901,219-026,6/27/1967,1967,UNCO,B,T,400,,,400,400,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3541,1901,219-026,6/27/1967,1967,COMU,B,Y,2000,,,2000,2000,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3542,1901,219-021,6/27/1967,1967,WGGU,B,T,200,,,200,200,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3543,1903,219-021,6/21/1968,1968,WGGU,B,T,530,,,530,530,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3544,1903,219-023,6/21/1968,1968,UNCO,B,T,15,,,15,15,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3545,1903,219-025,6/21/1968,1968,WGGU,B,T,200,,,200,200,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3546,1903,219-026,6/21/1968,1968,UNCO,B,T,900,,,900,900,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3547,1903,219-026,6/21/1968,1968,WGGU,B,T,250,,,250,250,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3548,1903,219-026,6/21/1968,1968,COMU,B,Y,2000,,,2000,2000,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3549,1904,219-021,7/1/1969,1969,WGGU,B,T,300,,,300,300,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3550,1904,219-026,7/1/1969,1969,UNCO,B,T,25,,,25,25,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3551,1904,219-026,7/1/1969,1969,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,5/27/2001,,
3552,1904,219-026,7/1/1969,1969,COMU,B,Y,3000,,,3000,3000,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3553,1905,219-021,6/18/1970,1970,WGGU,B,T,600,,,600,600,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3554,1905,219-025,6/18/1970,1970,WGGU,B,T,300,,,300,300,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3555,1905,219-026,6/18/1970,1970,COMU,B,Y,3000,,,3000,3000,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3556,2,219-021,8/1/1970,1970,TUPU,B,T,40,,,40,40,Present,4,,L,NA,Betty L. Depee,5/27/2001,,
3557,1906,219-021,6/21/1971,1971,WGGU,B,T,400,,,400,400,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3558,1906,219-029C,6/21/1971,1971,UNCO,B,T,15,,,15,15,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3559,1906,219-029C,6/21/1971,1971,COMU,B,T,900,,,900,900,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3560,1906,219-025,6/21/1971,1971,UNCO,B,T,25,,,25,25,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3561,1906,219-026,6/21/1971,1971,UNCO,B,T,75,,,75,75,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3562,1906,219-026,6/21/1971,1971,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,5/27/2001,,
3563,1906,219-026,6/21/1971,1971,COMU,B,Y,2000,,,2000,2000,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3564,367,219-025,7/3/1971,1971,WGGU,B,T,140,,,140,140,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3565,376,219-025,7/3/1971,1971,GWGU,B,T,2,,,2,2,Present,4,,L,NA,Betty L. Depee,5/27/2001,,
3566,1910,219-021,6/26/1972,1972,WGGU,B,T,1800,,,1800,1800,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3567,1910,219-021,6/26/1972,1972,TUPU,B,T,150,,,,X,Present,4,,L,NA,Betty L. Depee,5/27/2001,,
3568,1910,219-023,6/26/1972,1972,UNCO,B,T,35,,,35,35,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3569,1910,219-023,6/26/1972,1972,WGGU,B,T,35,,,35,35,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3570,1910,219-029C,6/26/1972,1972,UNCO,B,T,120,,,120,120,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3571,1912,219-029C,6/26/1972,1972,COMU,B,W,0,,,0,0,Absent,3,,L,NA,Betty L. Depee,5/27/2001,,
3572,1910,219-024,6/26/1972,1972,UNCO,B,T,200,,,200,200,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3573,1910,219-025,6/26/1972,1972,UNCO,B,T,20,,,20,20,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3574,1910,219-025,6/26/1972,1972,WGGU,B,T,130,,,130,130,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3575,1910,219-026,6/26/1972,1972,UNCO,B,T,75,,,75,75,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3576,1910,219-026,6/26/1972,1972,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,5/27/2001,,
3577,1910,219-026,6/26/1972,1972,COMU,B,Y,3400,,,3400,3400,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3578,1915,219-021,6/29/1973,1973,WGGU,B,T,240,,,240,240,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3579,1915,219-023,6/29/1973,1973,UNCO,B,T,20,,,20,20,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3580,1915,219-023,6/29/1973,1973,WGGU,B,T,20,,,20,20,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3581,1915,219-029C,6/29/1973,1973,UNCO,B,T,30,,,30,30,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3582,1916,219-029C,6/29/1973,1973,COMU,B,W,0,,,0,0,Absent,3,,L,NA,Betty L. Depee,5/27/2001,,
3583,1915,219-024,6/29/1973,1973,UNCO,B,T,200,,,200,200,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3584,1915,219-025,6/29/1973,1973,UNCO,B,T,20,,,20,20,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3585,1915,219-025,6/29/1973,1973,WGGU,B,T,75,,,75,75,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3586,1915,219-026,6/29/1973,1973,UNCO,B,T,150,,,150,150,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3587,1915,219-026,6/29/1973,1973,WGGU,B,T,30,,,30,30,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3588,1915,219-026,6/29/1973,1973,COMU,B,Y,3000,,,3000,3000,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3589,1918,219-029C,7/12/1974,1974,COMU,B,T,90,,,90,90,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3590,1918,219-021,7/12/1974,1974,WGGU,B,T,300,,,300,300,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3591,1918,219-023,7/12/1974,1974,UNCO,B,T,4,,,4,4,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3592,1918,219-023,7/12/1974,1974,WGGU,B,T,40,,,40,40,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3593,1918,219-029C,7/12/1974,1974,UNCO,B,T,130,,,130,130,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3594,1918,219-029C,7/12/1974,1974,WGGU,B,T,175,,,175,175,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3595,1918,219-024,7/12/1974,1974,UNCO,B,W,0,,,0,0,Absent,3,,L,NA,Betty L. Depee,5/27/2001,,
3596,1918,219-025,7/12/1974,1974,UNCO,B,W,0,,,0,0,Absent,3,,L,NA,Betty L. Depee,5/27/2001,,
3597,1918,219-025,7/12/1974,1974,WGGU,B,T,50,,,50,50,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3598,1918,219-026,7/12/1974,1974,UNCO,B,T,175,,,175,175,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3599,1918,219-026,7/12/1974,1974,WGGU,B,W,0,0,,0,0,Absent,1,,L,NA,Betty L. Depee,5/27/2001,,
3600,1918,219-026,7/12/1974,1974,COMU,B,T,800,,,800,800,Present,3,,L,NA,Betty L. Depee,5/27/2001,,
3601,54,219-021,1/1/1975,1975,WGGU,B,T,149,,,149,149,Present,4,Includes 4 Glaucous-winged Gull or GWGU/WEGU hybrids,L,NA,Betty L. Depee,5/27/2001,,
3602,54,219-021,1/1/1975,1975,GWGU,B,T,1,,,1,1,Present,4,,L,NA,Betty L. Depee,5/27/2001,,
